dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
8,late,5,8,700,7,220,"[192, 392]","['lower', 'higher']","[7, 4]",2,82,1,2480,"[-28, 172]","[28, 172]"
,,,,700,7,40000,,,,,83,1,2074,[False],[False]
13,late,6,13,700,7,392,[220],['lower'],[5],1,84,1,2125,[-172],[172]
80,late,4,80,700,7,392,[False],['standard'],[False],0,85,1,2460,[False],[False]
8,late,6,8,700,7,220,"[192, 440]","['lower', 'higher']","[4, 2]",2,86,1,2376,"[-28, 220]","[28, 220]"
,,,,700,7,40000,,,,,87,1,2046,[False],[False]
-27,early,4,27,700,7,392,"[440, 192, 440]","['higher', 'lower', 'higher']","[3, 6, 2]",3,88,1,2411,"[48, -200, 48]","[48, 200, 48]"
,,,,700,7,40000,,,,,89,1,2213,[False],[False]
-125,early,4,125,700,7,392,"[220, 440]","['lower', 'higher']","[3, 6]",2,90,1,2301,"[-172, 48]","[172, 48]"
13,late,6,13,700,7,392,[220],['lower'],[5],1,91,1,2362,[-172],[172]
,,,,700,7,40000,,,,,92,1,2014,[False],[False]
0,on_time,4,0,700,7,440,"[192, 192, 392]","['lower', 'lower', 'lower']","[2, 6, 7]",3,93,1,2190,"[-248, -248, -48]","[248, 248, 48]"
125,late,4,125,700,7,192,[False],['standard'],[False],0,94,1,2459,[False],[False]
-48,early,5,48,700,7,220,"[192, 392, 192]","['lower', 'higher', 'lower']","[4, 7, 2]",3,95,1,2395,"[-28, 172, -28]","[28, 172, 28]"
,,,,700,7,40000,,,,,96,1,2160,[False],[False]
36,late,6,36,700,7,392,"[220, 440]","['lower', 'higher']","[5, 3]",2,97,1,2471,"[-172, 48]","[172, 48]"
,,,,700,7,40000,,,,,98,1,2149,[False],[False]
80,late,6,80,700,7,192,[392],['higher'],[2],1,99,1,2109,[200],[200]
,,,,700,7,40000,,,,,100,1,2423,[False],[False]
63,late,4,63,700,7,392,[False],['standard'],[False],0,101,1,2290,[False],[False]
48,late,6,48,700,7,192,[False],['standard'],[False],0,102,1,2212,[False],[False]
,,,,700,7,40000,,,,,103,1,2124,[False],[False]
13,late,6,13,700,7,392,[220],['lower'],[5],1,104,1,2206,[-172],[172]
80,late,6,80,700,7,192,[392],['higher'],[2],1,105,1,2407,[200],[200]
,,,,700,7,40000,,,,,106,1,2309,[False],[False]
-63,early,5,63,700,7,220,"[440, 192]","['higher', 'lower']","[3, 4]",2,107,1,2374,"[220, -28]","[220, 28]"
-13,early,4,13,700,7,192,[220],['higher'],[2],1,108,1,2086,[28],[28]
-36,early,4,36,700,7,192,"[392, 440]","['higher', 'higher']","[3, 2]",2,1,2,2405,"[200, 248]","[200, 248]"
